method,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,champ_delta,loss_rescaled,time_train_s_rescaled,time_infer_s_rescaled,rank,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,median_champ_delta,median_loss_rescaled,median_time_train_s_rescaled,median_time_infer_s_rescaled,median_rank,rank=1_count,rank=2_count,rank=3_count,rank>3_count,elo,elo+,elo-,winrate,mrr
CAT (default),186.54889291408014,0.4368261870215921,85.73305725415607,0.1697456044717195,0.6825099780707867,0.6632910990824828,0.0,0.10780601848454233,0.07626745705603309,425.6698111187737,11.747370317227338,15.627450980392156,0.20726,25.447056531906128,0.4332277774810791,6.700347814449044,0.08827101352602937,0.7253344641250152,0.6992233922007495,0.0,0.06252446837171821,0.03385856499128612,120.27803545982526,7.036160265837067,16.0,1,1,0,49,1350.0,24.4,22.5,0.6749455337690632,0.10563964031416126
XGB (tuned),5938.998393348619,1.6265712625840132,1213.0777679819278,0.6984321316309747,0.688337281450137,0.6714664568375851,0.0,0.10989241069592354,0.08245109315518322,13936.971832341356,46.56690686937765,15.77450980392157,0.20927,2063.2708826065063,0.5078930854797363,700.9607998746845,0.21305428930075773,0.739130434782645,0.7249403678294756,0.0,0.07236984556257309,0.04963164724603595,11430.712273277264,15.141274536165636,14.0,1,2,0,48,1345.3,19.4,20.0,0.671677559912854,0.11121267257588667
MNCA_GPU (tuned),50606.46933756155,14.969161491768032,6200.95174646742,1.6696617082037302,0.6390290590854547,0.6248481741454857,0.0,0.10496494004699712,0.09013397172397493,106030.16699977385,104.17477306753874,15.931372549019608,0.20447,14787.927460432053,0.6251811981201172,4618.502341732761,0.46952933073043823,0.6976967273535112,0.6491206643869104,0.0,0.06144927536231881,0.05466681384890431,92410.46095689958,31.933384765725453,14.0,1,2,2,46,1342.6,24.7,20.9,0.6681917211328976,0.1324878091867173
TABPFNV2_GPU (tuned + ensemble),9280.937638614692,101.0832102392234,2836.0220285499013,48.21038294992157,0.5769405229632162,0.5734583843669234,0.35294117647058826,0.10380085323048606,0.08972310184267189,61984.06966966662,4163.892043743008,16.95098039215686,0.21666,1926.0209152698517,7.814479351043701,2942.0790635597914,17.37173979844504,0.6318283166109684,0.6156882091761224,0.0,0.08318481827952429,0.03857004834586989,26428.31699976118,914.2037538981667,15.0,11,1,2,37,1323.6,25.3,24.1,0.6455337690631808,0.28974308307057234
TABM_GPU (default),142.54126416468154,1.0708042359819598,23.88140219729834,0.4005178443372889,0.7342142610115121,0.7185496230027095,0.0,0.12702516559161459,0.1112509146027733,305.2739016434669,13.641685471262758,19.058823529411764,0.2124,38.16493201255798,0.17726969718933105,11.555005609392405,0.12732556548192603,0.8021437409621403,0.7790851769378091,0.0,0.07455117151840984,0.05717855281816143,191.5780246731349,9.78619298588067,17.0,0,1,0,50,1279.7,26.5,16.8,0.5986928104575163,0.08239283593041594
REALMLP (tuned),82067.04150357434,2.0937890398736094,8632.9301863134,0.8676478578817012,0.7525820940361576,0.7398957947893466,0.0,0.12265557726660592,0.09361789702222822,176783.27502952865,34.039924606828805,19.11764705882353,0.21531,31275.486653327942,0.5825295448303223,6559.124623720848,0.349657589934167,0.8122306154638388,0.7716257855494338,0.0,0.0698656429942418,0.05347283246893191,137543.59089717592,25.842995839112344,17.0,0,1,0,50,1279.2,24.4,24.1,0.5973856209150327,0.07542789518920645
TABICL_GPU (default),89.99167278701184,15.994201370314055,7.671787946091385,1.7323065455173496,0.7007163131783423,0.6934712279008554,0.29411764705882354,0.11554777469854423,0.10157201931134989,134.32668884285462,203.85595038983618,19.254901960784313,0.20899,19.30116367340088,1.4308764934539795,6.856698312130071,1.5204305848178132,0.822617740397896,0.8190420353025183,0.0,0.06495655771617714,0.048797809240279176,96.03934388429276,99.16403825333815,18.5,4,2,2,43,1277.8,18.9,23.5,0.5943355119825708,0.16106651102865213
TABPFNV2_GPU (tuned),9280.937638614692,4.082395156224568,2836.0220285499013,1.9953713679087344,0.6971186485360537,0.692574463707144,0.35294117647058826,0.12114487357571356,0.10688381853121591,61984.06966966662,159.46255672145648,19.774509803921568,0.22795,1926.0209152698517,0.3721911907196045,2942.0790635597914,0.2619314172957417,0.9448955387282205,0.9404767309875147,0.0,0.09148856392950888,0.05918640451838397,26428.31699976118,18.72396576888414,21.0,1,5,3,42,1267.6,23.1,20.2,0.5827886710239651,0.14600517518534517
NN_TORCH (tuned + ensemble),29357.971773493522,13.246924213334626,3694.4132392234865,3.45030206949641,0.806706588173393,0.7943213469880929,0.0,0.12383317684772308,0.09499035393155805,94556.98181855923,212.38450473432735,20.313725490196077,0.21375,10620.000384569168,3.6842262744903564,2832.7960851387297,1.800873875617981,0.9348138269059973,0.9011857707509902,0.0,0.07922111196515602,0.0695951926212325,57294.450258986595,164.18272158737435,21.0,0,0,1,50,1259.3,21.3,26.5,0.5708061002178649,0.07022375447351017
CUSTOMTABPFNV2 (default),34.713034615797156,16.18213314636081,9.205093434369651,2.002534272094947,0.6920713687425197,0.6846266296406441,0.0,0.12333816374026646,0.11049481824224791,129.9273914091259,161.364041143314,20.323529411764707,0.21595,13.78602933883667,1.57987380027771,4.124521822937107,0.9769033640623093,0.9802764600830063,0.9597978654217998,0.0,0.07328305391426859,0.05972573691336639,83.21102795748536,81.94538908604639,22.0,4,2,4,41,1255.9,23.3,17.9,0.5705882352941176,0.17333332423687128
EBM (tuned + ensemble),33815.09879914452,1.2886618586147534,6555.968895975794,0.4924074534971456,0.7972594942280985,0.7881011252605117,0.0,0.15844851199782556,0.1353364264600662,41186.37921180388,19.776872049406894,21.91176470588235,0.21048,2774.86767077446,0.33999180793762207,1323.3940540554784,0.18426990509033203,0.9926713892358923,0.9800805494516048,0.0,0.11314432082836512,0.06365614798694313,17200.38772644666,11.089686715499157,22.0,0,0,3,48,1224.9,23.8,22.0,0.5352941176470588,0.07892893729537401
TABPFNV2_GPU (default),12.262318129632988,0.840339740117391,4.40142189361026,0.44785573341984464,0.7382129536764169,0.7335674043643933,0.35294117647058826,0.13139690456074105,0.11897507336064356,68.41353371526327,34.453290769213694,21.970588235294116,0.22782,9.203422546386719,0.3870081901550293,3.265341403173851,0.3151157987035174,1.0,1.0,0.0,0.08973027820339718,0.08167997085223988,43.42507231078893,20.360866660523406,24.5,1,4,2,44,1227.2,21.8,22.9,0.5339869281045752,0.12668939536876425
MNCA_GPU (default),245.15467273020278,8.083605813045128,18.524091854412294,1.1280259623754931,0.8206387548240255,0.8090769971917093,0.0,0.1542025787061877,0.10266387777408317,315.39790519179047,62.504831773745536,22.215686274509803,0.21297,40.294944524765015,0.5322227478027344,13.739717303881024,0.31576028319217697,0.991935483870972,0.967768214784929,0.0,0.07931711197987557,0.08713555135923144,220.32243700895648,24.025524470708156,22.0,1,1,0,49,1221.0,21.7,20.4,0.5285403050108932,0.08447752387122234
TABDPT_GPU (default),165.2279131459255,62.46656582402248,26.956914471170485,21.63883475001047,0.7353362048209718,0.7223988273224671,0.0,0.14757473436501617,0.10803376836276612,555.3035574597842,1632.683869591928,22.637254901960784,0.21757,99.63741898536682,27.656949520111084,20.559618245438234,8.61670085798515,1.0,1.0,0.0,0.09511484956324834,0.05489681185866076,445.8805538455051,1247.4102886322382,25.0,4,3,0,44,1214.9,19.4,22.6,0.5191721132897603,0.15492929966279925
REALMLP (default),265.33954032262164,3.8989146456998935,24.880994813527074,3.185210885583871,0.8619929422112901,0.854092279116705,0.0,0.14056560238111146,0.10776217112282219,556.4275782424967,165.1494501601144,23.0,0.21633,100.95172715187073,3.2151546478271484,21.58663305185609,1.4943033874536162,1.0,0.9996384079288986,0.0,0.09708065314200909,0.08128250140770318,474.8079401992076,108.65711984315752,23.0,0,1,0,50,1207.0,21.7,19.2,0.5111111111111111,0.06008365947978862
XT (tuned + ensemble),1293.0170739772273,3.137296905704573,465.97356682221573,1.4220614441065493,0.8405967279393878,0.8314167565819505,0.0,0.15772054719949732,0.1273202363144277,5360.97691412289,92.16814260531523,23.274509803921568,0.21292,775.4602122306824,2.0695900917053223,191.43562446750065,0.7604422990939085,1.0,1.0,0.0,0.10874752469158522,0.07950487979052569,3382.254534218774,83.98689534392173,26.0,0,1,0,50,1200.0,23.8,21.3,0.5050108932461873,0.0710045392986551
EBM (tuned),33815.09879914452,0.15010464892667882,6555.968895975794,0.06527171144492658,0.8322203348137444,0.8236113333206871,0.0,0.16471291274137803,0.14611879405923836,41186.37921180388,2.297509957092046,24.00980392156863,0.21528,2774.86767077446,0.03941011428833008,1323.3940540554784,0.01867789003336745,1.0,1.0,0.0,0.11378284728865762,0.0787717680247385,17200.38772644666,1.1641602772099668,24.5,1,1,0,49,1189.9,22.9,23.5,0.4886710239651416,0.08291002302162363
NN_TORCH (tuned),29357.971773493522,0.60710202478895,3694.4132392234865,0.18506171262100615,0.8505982402726693,0.8425795961282188,0.0,0.14308953101434727,0.11480942012341483,94556.98181855923,10.572861046995973,24.215686274509803,0.21109,10620.000384569168,0.22349023818969727,2832.7960851387297,0.11152923107147217,1.0,1.0,0.0,0.09895258518988925,0.07345521618835778,57294.450258986595,8.23840338809871,24.0,0,0,0,51,1182.6,20.7,22.1,0.4840958605664488,0.055287979059365375
