task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363613,Amazon_employee_access,binary,1000,0,256,1,0.6206464670249261,16.96272125397809,0.0,443.98291015625,0.558328223644152,0.9421727189502593,0,0
363613,Amazon_employee_access,binary,2000,0,256,1,0.1854586109984666,0.4260096719954163,8.125,496.12451171875,0.6143580485616315,0.9421727189502593,0,0
363613,Amazon_employee_access,binary,3000,0,256,1,0.20767921896185726,0.47712575999321416,8.125,548.802734375,0.6529174366808028,0.9421727189502593,0,0
363630,Diabetes130US,binary,1000,0,256,1,0.8423370479722507,13.924563651962671,0.0,2773.2236328125,0.5916894260138806,0.9119826621923938,0,0
363618,bank-marketing,binary,1000,0,256,1,0.32347690098686144,11.472719409037381,0.0,658.2119140625,0.7126089442278942,0.8920712153046555,0,0
363627,credit_card_clients_default,binary,1000,0,256,1,0.7495772280381061,11.47130977496272,0.0,896.3994140625,0.7657084558457724,0.8218333333333333,0,0
363631,diamonds,regression,1000,0,256,1,1.288876682985574,14.726133657968603,0.0,5363.1865234375,0,0,0.9771068692207336,598.3549322935343
363628,customer_satisfaction_in_airline,binary,1000,0,256,1,0.1921906769857742,12.269566391012631,0.0,2884.0205078125,0.9809381487912895,0.9265860794579612,0,0
363613,Amazon_employee_access,binary,4000,0,256,1,0.2214607210480608,0.5183488690527156,8.125,601.22705078125,0.712984094089496,0.9421727189502593,0,0
363618,bank-marketing,binary,2000,0,256,1,0.19902170897694305,0.6103665700065903,8.125,716.3623046875,0.7320538983183261,0.8924029636182683,0,0
363627,credit_card_clients_default,binary,2000,0,256,1,0.22489082196261734,0.6198675140039995,8.125,1017.9521484375,0.7710116526645155,0.825,0,0
363613,Amazon_employee_access,binary,5000,0,256,1,0.24492934497538954,0.574016290018335,8.125,654.51708984375,0.729776206296134,0.9421727189502593,0,0
363618,bank-marketing,binary,3000,0,256,1,0.20555915700970218,0.6414089190075174,8.125,777.0087890625,0.7434099025464806,0.8916288842198385,0,0
363627,credit_card_clients_default,binary,3000,0,256,1,0.27016972500132397,0.706730259989854,8.125,1139.2021484375,0.772335456246187,0.8253333333333334,0,0
363631,diamonds,regression,2000,0,256,1,0.4425812949775718,1.5022099160123616,8.125,5363.65625,0,0,0.9794383645057678,567.0679522773263
363613,Amazon_employee_access,binary,6000,0,256,1,0.2729536140104756,0.6385890889796428,8.125,708.76171875,0.7515919797464028,0.9421727189502593,0,0
363618,bank-marketing,binary,4000,0,256,1,0.2299412449938245,0.6991495070396923,8.125,837.65478515625,0.7500877709031466,0.893177043016698,0,0
363628,customer_satisfaction_in_airline,binary,2000,0,256,1,0.2802236049901694,1.8647936090128496,8.125,2988.974609375,0.9833163128219317,0.9325531259624269,0,0
363620,Bioresponse,binary,1000,0,256,1,2.8683999099885114,12.051712429034524,0.0,9093.587890625,0.8268670361693619,0.7509986684420772,0,0
363627,credit_card_clients_default,binary,4000,0,256,1,0.3214918400044553,0.8144877870217897,8.125,1260.6044921875,0.77370747730513,0.825,0,0
363630,Diabetes130US,binary,2000,0,256,1,0.4172751749865711,3.184286784962751,8.125,3017.07275390625,0.6126718443610755,0.9119826621923938,0,0
363616,APSFailure,binary,1000,0,256,1,1.2181755430065095,22.224945373018272,0.0,13937.3056640625,0.9815111923252626,0.9882236842105263,0,0
363613,Amazon_employee_access,binary,7000,0,256,1,0.2926855880068615,0.7099679840030149,8.125,759.26806640625,0.7692442288998323,0.9421727189502593,0,0
363618,bank-marketing,binary,5000,0,256,1,0.26462772098602727,0.7780912799644284,8.125,898.30078125,0.7489972928920364,0.8933982085591065,0,0
363627,credit_card_clients_default,binary,5000,0,256,1,0.3379616080201231,0.9451671519782394,8.125,1382.005859375,0.7740946684854922,0.826,0,0
363631,diamonds,regression,3000,0,256,1,0.47890711697982624,1.6850152079714462,8.125,5363.65625,0,0,0.9805803298950195,551.0959818851885
363613,Amazon_employee_access,binary,8000,0,256,1,0.3105383070069365,0.7856371839880012,8.125,813.34130859375,0.77316035166056,0.9426304546841623,0,0
363618,bank-marketing,binary,6000,0,256,1,0.27396848500939086,0.8609232510207221,8.125,958.9462890625,0.748013998364135,0.8929558774742895,0,0
363628,customer_satisfaction_in_airline,binary,3000,0,256,1,0.2749367439537309,2.070289511990268,8.125,3093.927734375,0.9860707112359357,0.9367108099784416,0,0
363627,credit_card_clients_default,binary,6000,0,256,1,0.38158753101015463,1.0777177489944734,8.125,1503.40625,0.7731206431921195,0.825,0,0
363630,Diabetes130US,binary,3000,0,256,1,0.4745704749948345,1.8418915419606492,8.125,3198.85107421875,0.6221047324727657,0.9119826621923938,0,0
363613,Amazon_employee_access,binary,9000,0,256,1,0.325115259969607,0.8650401570484973,8.125,864.0205078125,0.7906263019025135,0.9430881904180654,0,0
363618,bank-marketing,binary,7000,0,256,1,0.3410430129733868,0.9520031330175698,8.125,1019.5927734375,0.7483756168524869,0.8926241291606768,0,0
363631,diamonds,regression,4000,0,256,1,0.5385402029496618,1.7639354820130393,8.125,5363.65625,0,0,0.9805904030799866,550.9534633251706
363613,Amazon_employee_access,binary,10000,0,256,1,0.3458671460393816,0.9597684220061637,8.125,918.06005859375,0.8054212555948428,0.9421727189502593,0,0
363627,credit_card_clients_default,binary,7000,0,256,1,0.47502194403205067,1.2195440059877,8.125,1624.80859375,0.7749221061974617,0.8248333333333333,0,0
