task_id,dataset_name,problem_type,context_len,use_chunk,chunk_size,seed,fit_time_s,eval_time_s,fit_mem_mb,eval_mem_mb,auc,acc,r2,rmse
363630,Diabetes130US,binary,1000,1,256,1,0.3334322859882377,17.85444515896961,0.0,2773.2236328125,0.5916894260138806,0.9119826621923938,0,0
363613,Amazon_employee_access,binary,1000,1,256,1,0.7278603800223209,13.441976431990042,0.0,443.98291015625,0.558328223644152,0.9421727189502593,0,0
363628,customer_satisfaction_in_airline,binary,1000,1,256,1,0.23959532397566363,17.909538637963124,0.0,2884.0205078125,0.9809381487912895,0.9265860794579612,0,0
363631,diamonds,regression,1000,1,256,1,1.1870148899615742,18.44352843199158,0.0,5363.1865234375,0,0,0.9771069288253784,598.3543055748826
363613,Amazon_employee_access,binary,2000,1,256,1,0.1876978850341402,0.4811758590512909,8.125,496.12451171875,0.6143580485616315,0.9421727189502593,0,0
363613,Amazon_employee_access,binary,3000,1,256,1,0.20924592396477237,0.6012421179912053,8.125,548.802734375,0.6529174366808028,0.9421727189502593,0,0
363630,Diabetes130US,binary,2000,1,256,1,0.24770253902534023,1.8573387680226006,8.125,3017.07275390625,0.6126718443610755,0.9119826621923938,0,0
363631,diamonds,regression,2000,1,256,1,0.4458311210037209,1.679038687958382,8.125,5363.65625,0,0,0.9794382452964783,567.0695779619992
363613,Amazon_employee_access,binary,4000,1,256,1,0.2174429469741881,0.6342806079774164,8.125,601.22705078125,0.712984094089496,0.9421727189502593,0,0
363628,customer_satisfaction_in_airline,binary,2000,1,256,1,0.286693011992611,2.2453420059755445,8.125,2988.974609375,0.9833163128219317,0.9325531259624269,0,0
363618,bank-marketing,binary,1000,1,256,1,0.8599138309946284,13.225267814006656,0.0,658.2119140625,0.7126089442278942,0.8920712153046555,0,0
363627,credit_card_clients_default,binary,1000,1,256,1,0.8704735730425455,13.227656684990507,0.0,896.3994140625,0.7657084558457724,0.8218333333333333,0,0
363613,Amazon_employee_access,binary,5000,1,256,1,0.2447933789808303,0.7238809959962964,8.125,654.51708984375,0.729776206296134,0.9421727189502593,0,0
363627,credit_card_clients_default,binary,2000,1,256,1,0.213667367992457,0.6926196999847889,8.125,1017.9521484375,0.7710116526645155,0.825,0,0
363618,bank-marketing,binary,2000,1,256,1,0.2418259260011837,0.6818149279570207,8.125,716.3623046875,0.7320538983183261,0.8924029636182683,0,0
363631,diamonds,regression,3000,1,256,1,0.4780244649737142,1.872532703971956,8.125,5363.65625,0,0,0.9805803298950195,551.0958117696051
363630,Diabetes130US,binary,3000,1,256,1,0.3152568460209295,2.1663796990178525,8.125,3198.85107421875,0.6221047324727657,0.9119826621923938,0,0
363613,Amazon_employee_access,binary,6000,1,256,1,0.2686459550168365,0.8616718089906499,8.125,708.76171875,0.7517049982374242,0.9421727189502593,0,0
363618,bank-marketing,binary,3000,1,256,1,0.20607848599320278,0.7396212299936451,8.125,777.0087890625,0.7434099025464806,0.8916288842198385,0,0
363627,credit_card_clients_default,binary,3000,1,256,1,0.2599343160400167,0.8233111299923621,8.125,1139.2021484375,0.772335456246187,0.8253333333333334,0,0
363628,customer_satisfaction_in_airline,binary,3000,1,256,1,0.22946281800977886,2.567553149012383,8.125,3093.927734375,0.9860707112359357,0.9367108099784416,0,0
363613,Amazon_employee_access,binary,7000,1,256,1,0.29681012994842604,0.9284014910226688,8.125,759.26806640625,0.7691967995898006,0.9421727189502593,0,0
363618,bank-marketing,binary,4000,1,256,1,0.2277542509837076,0.8191992320353165,8.125,837.65478515625,0.7500877709031466,0.893177043016698,0,0
363627,credit_card_clients_default,binary,4000,1,256,1,0.32334277796326205,0.9565337529638782,8.125,1260.6044921875,0.77370747730513,0.825,0,0
363620,Bioresponse,binary,1000,1,256,1,3.2105546250240877,15.100942587014288,0.0,9093.587890625,0.8268670361693619,0.7509986684420772,0,0
363631,diamonds,regression,4000,1,256,1,0.5402060539927334,2.0812125509837642,8.125,5363.65625,0,0,0.9805904030799866,550.9528110464634
363613,Amazon_employee_access,binary,8000,1,256,1,0.31196288601495326,1.0482198109966703,8.125,813.34130859375,0.7729037633661991,0.9426304546841623,0,0
363618,bank-marketing,binary,5000,1,256,1,0.26074312801938504,0.9283618740155362,8.125,898.30078125,0.7489972928920364,0.8933982085591065,0,0
363630,Diabetes130US,binary,4000,1,256,1,0.3324378919787705,2.5506415120325983,8.125,3452.48681640625,0.6245909939048281,0.9119826621923938,0,0
363616,APSFailure,binary,1000,1,256,1,0.7043980819871649,18.15024235402234,0.0,13937.3056640625,0.9815111923252626,0.9882236842105263,0,0
363627,credit_card_clients_default,binary,5000,1,256,1,0.40382345899706706,1.13666382903466,8.125,1382.005859375,0.7740946684854922,0.826,0,0
363628,customer_satisfaction_in_airline,binary,4000,1,256,1,0.3277109750197269,2.8587583700427786,8.125,3198.8818359375,0.9870103461105695,0.9388666461348938,0,0
363618,bank-marketing,binary,6000,1,256,1,0.2804356959532015,1.0396624690038152,8.125,958.9462890625,0.748013998364135,0.8929558774742895,0,0
363613,Amazon_employee_access,binary,9000,1,256,1,0.3235409450135194,1.1812821009662002,8.125,864.0205078125,0.790749575379488,0.9430881904180654,0,0
363631,diamonds,regression,5000,1,256,1,0.5993245840072632,2.320479524030816,8.125,5363.65625,0,0,0.9809154272079468,546.320333000704
363627,credit_card_clients_default,binary,6000,1,256,1,0.42115921596996486,1.3036414809757844,8.125,1503.40625,0.7731206431921195,0.825,0,0
